0.4 0.0001
[[ 1.      0.612 ]
 [ 2.      0.7992]
 [ 3.      0.824 ]
 [ 4.      0.8424]
 [ 5.      0.856 ]
 [ 6.      0.8496]
 [ 7.      0.8688]
 [ 8.      0.8688]
 [ 9.      0.8856]
 [10.      0.8848]
 [11.      0.8928]
 [12.      0.8896]
 [13.      0.896 ]
 [14.      0.9024]
 [15.      0.9032]
 [16.      0.9008]
 [17.      0.9016]
 [18.      0.9056]
 [19.      0.9048]
 [20.      0.9088]
 [ 2.      0.7992]
 [ 4.      0.8424]
 [ 6.      0.8496]
 [ 8.      0.8688]
 [10.      0.8848]
 [12.      0.8896]
 [14.      0.9024]
 [16.      0.9008]
 [18.      0.9056]
 [20.      0.9088]
 [22.      0.9144]
 [24.      0.9152]
 [26.      0.916 ]
 [28.      0.92  ]
 [30.      0.9232]
 [32.      0.9264]
 [34.      0.9208]
 [36.      0.924 ]
 [38.      0.9224]
 [40.      0.9272]
 [42.      0.9304]
 [44.      0.9312]
 [46.      0.9272]
 [48.      0.928 ]
 [50.      0.928 ]]
